iter	Accuracy	MultiClass
767	0.6614081297	0.7534844353
768	0.6614220289	0.7534317941
769	0.6614081297	0.7533912279
770	0.66140118	0.7533404796
771	0.661366432	0.7532653085
772	0.6614776257	0.7531999078
773	0.6615957691	0.7531327481
774	0.6617695093	0.7530478032
775	0.6617417109	0.7529715255
776	0.6618737534	0.7528741038
777	0.6619432495	0.7528201509
778	0.6620127456	0.7527638005
779	0.6619571487	0.7527373939
780	0.6621100401	0.7526941699
781	0.6621586874	0.7526198326
782	0.6621795362	0.7525802851
783	0.6622073346	0.7525529134
784	0.6622420827	0.7524924406
785	0.6622768307	0.7524238839
786	0.662394974	0.7523665058
787	0.6623880244	0.7523091848
788	0.6623671756	0.7522596629
789	0.662394974	0.7522258979
790	0.6623393772	0.7521610113
791	0.6624436213	0.752102839
792	0.6624436213	0.7520578253
793	0.6624158229	0.7520093157
794	0.6626729584	0.7519459001
795	0.6627633033	0.7518679112
796	0.6627355049	0.7518122342
797	0.6627494041	0.7517638397
798	0.6626660088	0.7517226473
799	0.6627216056	0.7516876614
800	0.6627980513	0.7516565748
801	0.6629370435	0.7516174402
802	0.6630134892	0.751575402
803	0.6629370435	0.7515231038
804	0.6630551868	0.7514368083
805	0.6630551868	0.7513444423
806	0.6630482372	0.7512960018
807	0.6630690861	0.7512192778
808	0.6632497759	0.751147906
809	0.6632775743	0.7510942465
810	0.6632567255	0.7510506033
811	0.6632636751	0.7509816895
812	0.6632845239	0.7509392466
813	0.6633123224	0.7508606697
814	0.6633401208	0.7508146687
815	0.6633609696	0.7507554587
816	0.6633679192	0.7506729303
817	0.6634721633	0.75057681
818	0.6634652137	0.7505409479
819	0.6635069114	0.7504897923
820	0.6634930122	0.7504812119
821	0.6636250547	0.7503716371
822	0.6635972563	0.7502946143
823	0.6635625083	0.7502047204
824	0.663673702	0.7501568607
825	0.663673702	0.7501026706
826	0.66370845	0.749982477
827	0.6636528532	0.7499388315
828	0.6637292989	0.7498892145
829	0.6637918453	0.7498303085
830	0.663868291	0.7498073014
831	0.6639030391	0.7497918601
832	0.6639725351	0.7497072767
833	0.6639030391	0.7496734702
834	0.6639308375	0.7496289133
835	0.6639655855	0.7495620708
836	0.6639308375	0.7495193777
837	0.6640072832	0.7494624482
838	0.6638821902	0.7494184855
839	0.6640072832	0.7493308594
840	0.6641323761	0.7493023937
841	0.6640072832	0.7492703922
842	0.664153225	0.7491930143
843	0.6640906785	0.7491153312
844	0.664187973	0.749085974
845	0.6642435699	0.7490461487
846	0.6642574691	0.7489993039
